0,0,0,2,25,F,arrest case no charge,25 - 45,Male,White,Yes
0,0,0,1,30,F,Possession Of Lorazepam,25 - 45,Female,White,No
1,0,0,1,20,F,arrest case no charge,Less than 25,Female,Black,No
0,0,0,0,33,M,Battery,25 - 45,Male,White,No
1,2,0,6,29,F,Crim Use of Personal ID Info,25 - 45,Male,Black,Yes
0,0,0,1,20,M,Battery,Less than 25,Male,Black,Yes
0,0,0,0,38,M,Battery,25 - 45,Male,White,Yes
0,0,0,2,29,F,Grand Theft in the 3rd Degree,25 - 45,Female,Black,No
0,0,0,0,22,M,Battery,Less than 25,Female,White,No
0,0,0,0,24,F,Possession Of Alprazolam,Less than 25,Male,White,No
0,0,0,0,38,F,Tampering With Physical Evidence,25 - 45,Male,Black,No
0,0,0,5,34,F,Possession Burglary Tools,25 - 45,Male,Black,Yes
0,0,0,0,22,M,Battery,Less than 25,Female,Other,No
0,0,0,0,23,F,Grand Theft in the 3rd Degree,Less than 25,Male,White,No
0,0,0,0,25,F,Felony Battery,25 - 45,Male,White,Yes
0,0,0,7,38,M,Battery,25 - 45,Male,Black,No
0,0,0,4,31,F,Tampering With Physical Evidence,25 - 45,Male,Black,Yes
0,0,0,1,72,M,Driving Under The Influence,Greater than 45,Male,White,No
0,0,0,0,21,F,Burglary Conveyance Unoccup,Less than 25,Male,White,Yes
0,0,0,0,24,M,DUI Level 0.15 Or Minor In Veh,Less than 25,Male,Other,No
0,1,0,5,42,F,arrest case no charge,25 - 45,Male,Black,Yes
0,0,0,9,28,M,arrest case no charge,25 - 45,Female,Black,Yes
0,0,0,0,23,M,Resist/Obstruct W/O Violence,Less than 25,Male,White,Yes
0,0,0,5,53,F,Battery on Law Enforc Officer,Greater than 45,Male,Black,No
0,0,0,0,27,M,Battery,25 - 45,Male,White,No
0,0,0,1,43,F,Possession of Cocaine,25 - 45,Male,White,No
0,0,0,0,27,F,Aggravated Assault W/Dead Weap,25 - 45,Male,Black,Yes
0,0,0,2,67,F,Att Burgl Unoccupied Dwel,Greater than 45,Male,White,No
0,0,0,0,66,M,Fleeing Or Attmp Eluding A Leo,Greater than 45,Male,Other,No
0,0,0,4,47,F,Possession of Cocaine,Greater than 45,Male,Black,Yes
0,0,0,1,45,F,Aggravated Assault W/Dead Weap,Greater than 45,Male,Black,Yes
2,0,0,8,30,F,arrest case no charge,25 - 45,Male,Black,Yes
0,0,0,16,58,F,Felony Petit Theft,Greater than 45,Male,Black,Yes
0,0,0,0,21,F,Robbery Sudd Snatch No Weapon,Less than 25,Female,Black,Yes
0,0,0,0,29,F,Grand Theft (Motor Vehicle),25 - 45,Male,Black,No
0,0,0,1,67,F,Grand Theft in the 3rd Degree,Greater than 45,Male,White,No
0,0,0,0,54,M,Battery,Greater than 45,Male,White,No
0,0,0,4,37,M,Battery,25 - 45,Male,White,Yes
0,0,0,1,21,F,arrest case no charge,Less than 25,Male,White,No
0,0,0,0,23,F,Aggrav Battery w/Deadly Weapon,Less than 25,Female,Black,Yes
0,0,0,2,33,F,Grand Theft in the 3rd Degree,25 - 45,Male,Black,Yes
0,0,0,2,26,F,Aggravated Assault W/Dead Weap,25 - 45,Male,White,Yes
0,0,1,4,23,M,Possess Cannabis/20 Grams Or Less,Less than 25,Male,Black,Yes
0,0,0,1,30,F,Aggravated Assault W/Dead Weap,25 - 45,Male,Other,Yes
0,0,0,0,24,F,"Possession Of 3,4Methylenediox",Less than 25,Male,Black,No
0,0,0,6,25,M,Battery,25 - 45,Male,Other,Yes
0,0,0,7,29,F,Poss Tetrahydrocannabinols,25 - 45,Male,Black,Yes
0,1,0,2,20,F,Grand Theft in the 3rd Degree,Less than 25,Male,Other,Yes
