0.14,-0.73,63.0,676.315771,3.0,4.0,37.0,2.5,No,Male,White,Passed
-1.48,0.0,69.0,681.578933,3.0,2.0,31.0,3.5,No,Male,White,Failed_or_not_attempted
0.61,-0.09,69.0,718.9473519999999,4.0,2.0,34.0,3.4,No,Male,White,Passed
0.14,-0.5,66.0,942.631555,5.0,3.0,45.0,3.9,No,Male,White,Passed
0.99,0.94,67.0,667.368406,2.0,3.0,32.0,3.2,No,Male,White,Failed_or_not_attempted
-0.21,-0.55,69.0,782.105244,3.0,4.0,38.0,3.4,No,Female,White,Passed
1.67,1.27,68.0,663.157879,2.0,4.0,33.0,3.0,No,Male,White,Passed
-0.83,-0.31,53.0,677.3684059999999,4.0,2.0,32.0,3.3,No,Female,Other,Passed
-0.12,-0.13,64.0,747.8947169999999,4.0,3.0,39.0,2.9,No,Male,White,Passed
0.48,-0.12,69.0,888.421028,4.0,4.0,46.0,3.2,No,Female,White,Passed
1.02,0.75,68.0,651.0526155,3.0,4.0,33.5,2.8,No,Male,White,Passed
0.0,0.0,68.0,723.157879,4.0,4.0,33.0,3.6,No,Female,White,Passed
1.27,0.87,69.0,948.421028,4.0,4.0,46.0,3.8,No,Female,White,Passed
1.22,0.97,68.0,800.526298,3.0,3.0,36.0,3.9,No,Female,White,Passed
-1.31,-1.5,68.0,554.210514,4.0,2.0,28.0,2.7,No,Female,Black,Passed
-0.03,-0.78,57.0,639.9999869999999,3.0,4.0,29.0,3.4,No,Female,White,Passed
0.11,0.2,69.0,714.736825,4.0,5.0,35.0,3.2,No,Male,White,Passed
-0.4,-0.87,67.0,736.315771,4.0,4.0,37.0,3.1,No,Male,White,Passed
1.3,1.51,67.0,714.736825,3.0,4.0,35.0,3.2,No,Male,White,Passed
0.09,-0.26,58.0,776.842082,5.0,4.0,44.0,2.4,No,Male,White,Passed
-0.85,0.0,69.0,667.368406,6.0,3.0,32.0,3.2,No,Female,Black,Passed
0.05,0.03,69.0,885.2631359999999,6.0,3.0,42.0,3.8,No,Female,White,Passed
1.39,1.37,68.0,845.2631359999999,4.0,5.0,42.0,3.4,No,Male,White,Passed
0.86,0.98,69.0,718.9473519999999,3.0,4.0,34.0,3.4,No,Male,White,Passed
0.54,0.82,67.0,979.999974,6.0,3.0,48.0,3.8,No,Female,White,Passed
-0.9,0.0,59.0,736.315771,3.0,2.0,37.0,3.1,Yes,Male,White,Failed_or_not_attempted
0.45,0.1,66.0,793.6841900000001,4.0,3.0,40.0,3.2,No,Female,White,Passed
0.05,0.18,70.0,681.578933,5.0,3.0,31.0,3.5,No,Male,Other,Passed
1.48,1.31,64.0,909.999974,5.0,4.0,48.0,3.1,No,Male,White,Passed
-0.89,-0.48,69.0,661.578933,3.0,4.0,31.0,3.3,No,Female,White,Passed
-1.31,-1.34,65.0,932.631555,5.0,3.0,45.0,3.8,No,Male,White,Passed
-1.62,-1.33,68.0,795.7894534999999,6.0,4.0,39.5,3.3,No,Male,Other,Passed
-1.49,-1.69,69.0,637.3684059999999,3.0,4.0,32.0,2.9,No,Male,White,Passed
0.25,0.43,68.0,786.315771,5.0,3.0,37.0,3.6,No,Male,White,Failed_or_not_attempted
-1.64,-0.67,67.0,423.684203,2.0,3.0,21.0,2.5,No,Female,Black,Failed_or_not_attempted
-0.69,-0.83,68.0,630.526298,3.0,3.0,36.0,2.2,No,Male,White,Passed
-0.07,-1.06,63.0,752.105244,3.0,3.0,38.0,3.1,No,Male,White,Failed_or_not_attempted
-0.12,-0.33,68.0,658.9473519999999,3.0,4.0,34.0,2.8,No,Male,White,Passed
